particleCount,runIndex,avgFps
100,0,316.87744094653726
100,1,589.7369886441606
100,2,836.5192113876004
100,3,900.6668398718282
100,4,821.956972339361
100,5,899.2504942619564
100,6,895.2089107717734
100,7,837.5866821289753
100,8,904.3887201856085
100,9,951.6288866948556
100,10,917.1997890440484
100,11,969.4219950142674
100,12,951.006260638811
100,13,938.8185127754151
100,14,969.0531931001549
100,15,938.9868241004186
100,16,934.5555042848022
100,17,683.1559163117502
100,18,959.9078488465108
100,19,962.7266651566896
100,20,958.6203241334971
100,21,999.5948757306534
100,22,988.262482515356
100,23,1005.020269519378
100,24,1006.3564959827991
100,25,951.7956677738919
100,26,987.4297346425006
100,27,964.4100244858141
100,28,988.7776129284346
100,29,993.0221100192111
100,30,983.2297869463955
100,31,963.1933288760192
100,32,1034.9596365741736
100,33,1021.1936968782894
100,34,1049.2581291021327
100,35,1028.2527267235469
100,36,965.3734082997862
100,37,1021.2226847599042
100,38,1073.9806652350385
100,39,1076.6402199658787
100,40,1076.7700831856657
100,41,1068.6917004272198
100,42,1049.4180018576717
100,43,1054.6624446365597
100,44,1075.607965318658
100,45,1011.3135845183449
100,46,1064.2320312352101
100,47,1035.2582969450877
100,48,1068.4430216801472
100,49,1084.2210393092678
100,50,1085.3933194041192
100,51,1040.8930158090027
100,52,1033.0455374419407
100,53,1051.2292306417148
100,54,1059.482522121176
100,55,1012.0118016145481
100,56,1046.6361968058475
100,57,1030.1716473979993
100,58,1064.0529161700233
100,59,1072.6271733592414
100,60,1053.2780608285889
100,61,1060.2064073343747
100,62,1071.636311365991
100,63,1056.2745501311456
100,64,1075.1626571197737
100,65,1058.284510632452
100,66,1029.6222828168477
100,67,937.7623367594721
100,68,971.1108527707239
100,69,1032.665493333598
100,70,1040.6894415993881
100,71,1083.0360624974292
100,72,1027.3906312893553
100,73,1050.3888711299103
100,74,1027.7324713556632
100,75,1071.0817204456112
100,76,1072.6918945234436
100,77,1065.7752413237954
100,78,1061.9266617110088
100,79,1068.078173052285
100,80,1051.213292187767
100,81,1083.023991335808
100,82,1054.0125701133722
100,83,1032.8326577713954
100,84,1043.9776861117177
100,85,1043.6538320660634
100,86,1035.577050417666
100,87,1023.394402426232
100,88,1045.4735769119225
100,89,1064.4624106593628
100,90,1070.721130681514
100,91,1061.5575151348871
100,92,1001.6696098737655
100,93,1028.521697851972
100,94,1056.50570181326
100,95,1050.006562541016
100,96,1060.7514812272486
100,97,1044.9541275185654
100,98,1056.984686934348
100,99,1069.9992468451903
200,0,623.092714698128
200,1,629.2517984349176
200,2,624.9237623054399
200,3,641.0529047401548
200,4,647.2066963489764
200,5,642.5055740447518
200,6,626.3213347630323
200,7,631.2656147191718
200,8,644.4582631168171
200,9,641.7023870711778
200,10,636.4223274086903
200,11,628.2184871411529
200,12,630.9318590558894
200,13,634.8752866858716
200,14,630.5755153590612
200,15,624.2817383485167
200,16,643.9231762501319
200,17,626.445832463688
200,18,631.551588655876
200,19,630.7851030393531
200,20,629.37479783604
200,21,625.4414549211568
200,22,628.1240110066653
200,23,633.9899701567509
200,24,624.1139007868935
200,25,606.3403871908104
200,26,578.8481645086483
200,27,628.4899320747419
200,28,641.0965710271815
200,29,621.5688577267732
200,30,633.119452595181
200,31,637.2865319908648
200,32,631.2970361818184
