particleCount,runIndex,avgFps
100,0,503.84789607168204
100,1,996.5467488745521
100,2,1193.9065776754467
100,3,1217.0414017494822
100,4,1290.2121282421233
100,5,1262.2125128952
100,6,1246.389664553397
100,7,1258.8566313601764
100,8,1276.251355250087
100,9,1288.900951679847
100,10,1299.6304175999949
100,11,1263.5842904883084
100,12,1304.9291650407586
100,13,1294.2696212519072
100,14,1293.3127646860949
100,15,1300.533092912723
100,16,1302.5856324804738
100,17,1306.2586115726976
100,18,1300.5714385758242
100,19,1273.3223060356702
100,20,1296.2021277656468
100,21,1313.1536964329568
100,22,1303.5775055167023
100,23,1304.0940402275394
100,24,1275.870889226804
100,25,1296.1358948634384
100,26,1309.9606130111838
100,27,1302.3360653171628
100,28,1301.2141954961724
100,29,1308.223822001054
100,30,1311.711948056207
100,31,1307.014583894941
100,32,1282.0520799427932
100,33,1310.3695811944874
100,34,1311.0406006582937
100,35,1289.5210297321391
100,36,1315.596395265877
100,37,1283.075612823566
100,38,1300.9838690509698
100,39,1316.8131594800689
100,40,1314.9335357993816
100,41,1327.785572843721
100,42,1319.43109683419
100,43,1312.188711753978
100,44,1316.6883570400846
100,45,1341.468998844918
100,46,1282.0560233827293
100,47,1288.6557826093722
100,48,1293.060306965057
100,49,1295.3819633008325
100,50,1302.700661308475
100,51,1329.1152651135494
100,52,1293.4406391586667
100,53,1316.0642087480308
100,54,1301.2451721918248
100,55,1311.6341953124213
100,56,1276.3821439047229
100,57,1288.0995700967685
100,58,1285.1355755948407
100,59,1296.9238587225923
100,60,1274.6540884375943
100,61,1293.314373013006
100,62,1298.9364957441096
100,63,1299.394969217458
100,64,1293.2717537013687
100,65,1280.913586982962
100,66,1328.9427110686872
100,67,1269.7141433946783
100,68,1270.0428639466581
100,69,1291.8292114412384
100,70,1305.8698851336758
100,71,1312.5620390651277
100,72,1322.9499867385448
100,73,1286.5809605811387
100,74,1298.1371731565205
100,75,1295.247630072271
100,76,1296.1827418253245
100,77,1271.6112782138753
100,78,1286.9176774848183
100,79,1289.3651550306627
100,80,1287.8044914658187
100,81,1300.649130732831
100,82,1304.6576277309996
100,83,1306.5860101071967
100,84,1318.9391417384
100,85,1297.10745038564
100,86,1310.012589976766
100,87,1315.2376958560483
100,88,1251.119541464688
100,89,1266.5272674795985
100,90,1092.7634774162213
100,91,1209.801142589968
100,92,1311.0538225413015
100,93,1318.486833514414
100,94,1302.4036583071647
100,95,1284.0952091462316
100,96,1298.2060415263657
100,97,1315.5697682067266
100,98,1281.769235936126
100,99,1309.29270497355
200,0,742.7101923405155
200,1,749.1966846605941
200,2,743.8693364900096
200,3,738.1000877913277
200,4,740.9943360245439
200,5,744.925374951741
200,6,747.9479974771139
200,7,737.5724363506902
200,8,751.8150188062189
200,9,737.0264649469145
200,10,750.604453105265
200,11,753.1314699605548
200,12,756.6043741190379
200,13,727.8626523175076
200,14,751.4991142788084
200,15,739.5221620214838
200,16,751.1416992703092
200,17,747.8950171134919
200,18,749.8462454693786
200,19,734.1615240063759
200,20,732.6949259115095
200,21,741.0619203550827
200,22,736.8243931383229
200,23,738.6221997163407
200,24,739.3547139550359
200,25,736.3048188672445
200,26,734.7694307656438
200,27,736.2480023078543
200,28,757.7764071416054
200,29,753.6425755879952
200,30,753.2825736768302
200,31,746.4928295415924
200,32,740.6431488728336
200,33,737.6728832157431
200,34,745.3297743836606
200,35,740.9916962618038
200,36,746.5204252295192
200,37,744.2393015600401
200,38,732.9869500131092
200,39,746.0010042321211
200,40,744.468918064753
200,41,743.3108279303332
200,42,736.8802544787617
200,43,742.8749187926996
200,44,742.0411625929914
200,45,745.273158736375
200,46,727.2231438765539
200,47,732.6476971967068
200,48,752.5287498543784
200,49,743.6846087464496
200,50,739.9957379091634
200,51,749.8724676031661
200,52,754.0928571091922
200,53,737.4552829098284
200,54,735.3193141969456
200,55,755.4955033488791
200,56,748.995158178415
200,57,746.7002490317128
200,58,745.2152167214831
200,59,742.2683649862021
200,60,756.8959406360691
200,61,744.0399005705141
200,62,746.01705796696
200,63,749.0253667523484
200,64,740.3647577832626
200,65,744.6994761683637
200,66,755.1065898297308
200,67,745.0780075181236
200,68,749.4447623179174
200,69,733.6951249839063
200,70,753.0605757582559
200,71,750.6334371829882
200,72,746.6737122032331
200,73,740.9645282024702
200,74,748.7737929172479
200,75,740.5703393350537
200,76,737.8437580369099
200,77,745.9343886153198
200,78,732.4526529223805
200,79,755.941683460323
200,80,747.5160365549716
200,81,742.9067584156513
200,82,727.1402657068415
200,83,745.6410469660655
200,84,736.1821805502802
200,85,743.5465166990539
200,86,742.8284909010653
200,87,741.5438157919598
200,88,746.4072390684694
200,89,753.8121876934363
200,90,742.8438777878966
200,91,755.8966296822435
200,92,761.2968398860983
200,93,749.8584101487568
200,94,746.565172088656
200,95,754.974483314338
200,96,755.8848176900306
200,97,748.9762790570388
200,98,751.4863532968574
200,99,735.6930688516751
300,0,531.4420808614676
300,1,524.8768936574179
300,2,537.9561700210476
300,3,538.4300570295798
300,4,535.8515608737678
300,5,539.1686589553452
300,6,541.6057360213644
300,7,533.3709428228914
300,8,543.9007673969145
300,9,538.8324640342282
300,10,539.8232545995926
300,11,544.0430296186964
300,12,541.5318478003913
300,13,540.160126314368
300,14,535.2617854737671
300,15,539.57119136022
300,16,536.5007512300183
300,17,540.334404650201
300,18,535.2770753695856
300,19,538.7330966015784
300,20,541.6744250243167
300,21,539.7879515696021
300,22,533.8071408954293
300,23,539.0632997671402
300,24,541.8865258352216
300,25,537.8201322623818
300,26,534.5331546759058
300,27,539.011054650279
300,28,538.3744508192351
300,29,537.5210356789925
300,30,533.031418870696
300,31,534.9874046474973
300,32,536.5716118017895
300,33,539.2869226810338
300,34,533.6703666956851
300,35,533.9521702075226
300,36,536.3423514486401
300,37,539.4896013379342
300,38,541.7974599597351
300,39,521.3065244769704
300,40,529.9738427333198
300,41,535.9599493620917
300,42,538.2517118604023
300,43,535.1319254561228
300,44,540.6491480747043
300,45,535.4464245951137
300,46,542.5492982985602
300,47,536.5017199007059
300,48,536.7403962176318
300,49,533.8522651120616
300,50,539.7457901125837
300,51,543.590041116837
300,52,536.1768579365904
300,53,540.2217142637492
300,54,540.1985645261991
300,55,537.9981914983871
300,56,533.0364730206664
300,57,544.7998332074357
300,58,540.6397327576213
300,59,543.8778701324238
300,60,530.4899074295112
300,61,535.5248658613197
300,62,536.5432376463499
300,63,540.27517669336
300,64,541.3983643001919
300,65,545.3534834453754
300,66,535.5583723866104
300,67,539.4795267519598
300,68,536.6365376210593
300,69,533.9410677948567
300,70,527.2136000831375
300,71,531.6197456864041
300,72,538.8658273313266
300,73,538.8172495089121
300,74,532.6340803867743
300,75,533.4397477240332
300,76,533.3368889125927
300,77,524.7785018431583
300,78,524.3782965873561
300,79,528.0730487510438
300,80,530.6784443263458
300,81,533.5945210104124
300,82,531.3796275693036
300,83,537.7983002988142
300,84,546.4202381446511
300,85,530.7021393419702
300,86,538.993455634749
300,87,530.0609544613931
300,88,533.0718547543217
300,89,537.2536317570622
300,90,538.5097932407183
300,91,533.8978961342713
300,92,541.4350058035064
300,93,537.9169373492281
300,94,529.0974335467614
300,95,538.0818365560899
300,96,538.374032770931
300,97,532.8648221858269
300,98,538.6594320561408
300,99,536.0196162563411
400,0,413.8151388300053
400,1,417.4073305557016
400,2,415.4337637799679
400,3,418.36156737552136
400,4,411.9699452079973
400,5,416.3333997865491
400,6,413.42855706079325
400,7,414.30846141374
400,8,414.43616656906823
400,9,418.350207797364
400,10,414.60758189695724
400,11,417.42743485623436
400,12,414.81909300603047
400,13,410.99206172784625
400,14,414.20920791051964
400,15,416.39015757765026
400,16,411.30527928122825
400,17,412.7700741696227
400,18,413.31387313847307
400,19,416.57712595029153
400,20,414.43682717526036
400,21,422.28778059551104
400,22,415.03264191821705
400,23,413.34861663346635
400,24,419.8322285825011
400,25,412.8974882731158
400,26,409.93888954255743
400,27,411.8167652981019
400,28,414.7012386607622
400,29,414.2101152499818
400,30,412.92207882444256
400,31,414.9295647089639
400,32,410.10256112992715
400,33,418.4055810476755
400,34,412.94437678950834
400,35,415.4340956748717
400,36,417.5067819761519
400,37,413.565176380577
400,38,416.1700470812374
400,39,421.1920342056531
400,40,418.1219689926377
400,41,419.896132231752
400,42,417.38496679682527
400,43,407.0922516057147
400,44,415.9017640033424
400,45,419.9738768172199
400,46,415.69521227036336
400,47,415.3290774083546
400,48,411.25054965217697
400,49,416.4547686073192
400,50,418.4032244405416
400,51,419.28281674196285
400,52,420.4588823556047
400,53,419.03557753074824
400,54,422.3250782316599
400,55,417.3905784511679
400,56,416.89908456577456
400,57,413.61649359401514
400,58,420.9427092925127
400,59,417.02580006299496
400,60,417.8465474625465
400,61,414.32463689823834
400,62,419.02367483762833
400,63,420.2741035785734
400,64,419.72912538741707
400,65,417.1572777198504
400,66,417.21367457935133
400,67,417.10131431030493
400,68,416.11826080972213
400,69,418.0434801396185
400,70,412.37399545793835
400,71,413.83967850854583
400,72,415.51160765636075
400,73,411.255672313062
400,74,415.23414214822185
400,75,417.65952837002544
400,76,418.40011039325987
400,77,418.6866283568402
400,78,416.7200088312586
400,79,415.56432236443317
400,80,417.78695837837597
400,81,417.9632570108313
400,82,417.35196997152576
400,83,420.99715199474724
400,84,415.5678925053729
400,85,418.51182426688496
400,86,416.98274493325874
400,87,413.11702155338753
400,88,417.35900439009504
400,89,421.1048860921406
400,90,419.0235904237799
400,91,408.50258859056197
400,92,412.7209776901383
400,93,418.6137404727639
400,94,416.49946615981884
400,95,415.6387268186493
400,96,409.08692192379414
400,97,397.65528677924266
400,98,418.71225047366823
400,99,418.31512321793736
500,0,342.6778395018914
500,1,343.02239672387225
500,2,335.5285179076248
500,3,339.29253916912154
500,4,341.6741243614965
500,5,341.84966306442584
500,6,340.9330255101497
500,7,338.5433748119497
500,8,340.6966952584356
500,9,344.9893857712777
500,10,341.90130328503045
500,11,343.2730691054898
500,12,343.8056308089515
500,13,344.01556802759
500,14,344.5119739442944
500,15,342.6598310423448
500,16,343.5132720811735
500,17,344.4533814640693
500,18,350.5560864457826
500,19,344.6560581090114
500,20,343.8571815646923
500,21,345.46823735129504
500,22,345.312695587269
500,23,340.6532287702615
500,24,341.3218509161948
500,25,345.83568116410953
500,26,342.95277391910105
500,27,335.441075178957
500,28,340.9345343407949
500,29,348.54176326272625
500,30,342.58352779340635
500,31,341.87747604351114
500,32,343.0982730775239
500,33,343.20442047293574
500,34,349.0620467857259
500,35,339.5630085282556
500,36,340.8451452016705
500,37,344.90008841381115
500,38,346.67429350112366
500,39,343.535966151137
500,40,339.79898929404476
500,41,340.8324669142618
500,42,344.2162485625248
500,43,340.819566189126
500,44,341.0356005095859
500,45,344.3771326961253
500,46,344.23083192813783
500,47,341.5282040722969
500,48,342.6748473696575
500,49,346.0794275580053
500,50,343.02924175859874
500,51,338.7054514805255
500,52,335.0757271143279
500,53,344.07025517606553
500,54,339.87383491085996
500,55,339.8587854067905
500,56,344.8122091372251
500,57,343.7782986973943
500,58,343.7062673020165
500,59,340.1248748855553
500,60,342.77033909379765
500,61,341.6044867121603
500,62,341.1978900191251
500,63,343.3235535638388
500,64,342.8227098948523
500,65,342.15928830868035
500,66,344.9432725862802
500,67,344.5625381006653
500,68,343.73216786094315
500,69,344.7409437548521
500,70,339.1104383246966
500,71,344.99602342323965
500,72,341.61705418030056
500,73,342.1382389815861
500,74,343.6578278313935
500,75,340.11302871633166
500,76,339.1268039141102
500,77,338.38541675987176
500,78,339.8847757928834
500,79,339.6216679930416
500,80,342.6563876339922
500,81,342.78988446827276
500,82,342.63753478882904
500,83,343.98649588398655
500,84,341.5748109596905
500,85,342.4528979088641
500,86,345.69026451454533
500,87,343.28564633590435
500,88,342.89278863495036
500,89,344.63076044931233
500,90,339.6953814330017
500,91,344.0535228186056
500,92,341.82022556848153
500,93,340.4963061061792
500,94,342.5643444537186
500,95,340.57882025461544
500,96,339.53025010483816
500,97,339.9866653306934
500,98,337.2048667092388
500,99,338.81408554404095
600,0,287.9753670301433
600,1,285.3803749953008
600,2,285.7669249239455
600,3,287.66435765309586
600,4,285.5650701199538
600,5,293.7558106805941
600,6,291.4634421468188
600,7,289.83604894383325
600,8,290.3046482100834
600,9,292.32254194687937
600,10,290.97233160885594
600,11,293.05965694267485
600,12,295.80531004662913
600,13,291.12713087914096
600,14,288.536393594714
600,15,290.99484281591793
600,16,287.64084721292613
600,17,287.8249360177621
600,18,287.19348998633626
600,19,284.8593944984886
600,20,287.49597090983076
600,21,289.87567399578285
600,22,286.3731011948918
600,23,286.0668788604416
600,24,285.1759377866755
600,25,287.93422696304697
600,26,290.79240791352396
600,27,287.2708359056503
600,28,291.16727279853745
600,29,285.51477834101365
600,30,285.53974562252466
600,31,287.12506367136325
600,32,287.16942208948615
600,33,285.2810738637961
600,34,287.3460005028555
600,35,288.0211850659354
600,36,286.4818840150546
600,37,285.9909662603533
600,38,288.31809914095066
600,39,289.1157242675538
600,40,292.36757576115366
600,41,289.9826874758987
600,42,290.1070160150231
600,43,288.00307941754147
600,44,290.28370207737066
600,45,289.83067757396117
600,46,291.0424819878985
600,47,291.39202734602105
600,48,288.0015640700326
600,49,288.68829062250217
600,50,289.91300658464917
600,51,290.3874899952435
600,52,289.91890633667947
600,53,290.7091724474232
600,54,292.2764541807477
600,55,287.2201002149594
600,56,286.8669945317358
600,57,288.28177547756025
600,58,289.88565265315754
600,59,288.63941623788213
600,60,290.9419693861908
600,61,288.07204460241627
600,62,290.30436458655214
600,63,285.37344476617557
600,64,287.69929227357267
600,65,287.5119860014837
600,66,289.51238598014
600,67,288.0072267659516
600,68,289.93919361776926
600,69,288.7878131542849
600,70,288.15685042345893
600,71,290.25133672601794
600,72,291.7959465334431
600,73,292.3418521936461
600,74,286.92631290859407
600,75,291.9841233632921
600,76,290.59865838423235
600,77,291.42395347977015
600,78,290.57032248835486
600,79,290.78000898622065
600,80,292.0712895466983
600,81,292.78553909700435
600,82,292.0240099894675
600,83,291.69000420426266
600,84,289.35523307285797
600,85,290.7962294354289
600,86,291.12977949718527
600,87,288.0006867708684
600,88,290.4560201408907
600,89,290.70628769747765
600,90,290.4575614272358
600,91,289.5397098143939
600,92,289.9002380805705
600,93,289.32383906027616
600,94,289.6100581573198
600,95,287.40662911680636
600,96,287.01008895656935
600,97,292.3208164745266
600,98,289.15282115842405
600,99,292.06070874990013
700,0,251.66004889464372
700,1,251.85732669915302
700,2,252.1744897134025
700,3,252.06701007565164
700,4,250.02455168975126
700,5,248.30199634805064
700,6,252.26771086093754
700,7,251.70953735908049
700,8,249.41606064359658
700,9,250.36332774268814
700,10,252.16782496158382
700,11,253.38716511170597
700,12,253.66413575714293
700,13,251.77428241908603
700,14,250.99980583716945
700,15,252.26917946174734
700,16,249.5331750157308
700,17,250.02437136600693
700,18,251.8463790363074
700,19,253.6803469078744
700,20,255.5702644980219
700,21,253.07221147882018
700,22,252.98845655026645
700,23,250.13059703287388
700,24,251.79223412222987
700,25,253.64406031460643
700,26,254.00894502269475
700,27,250.71734692832078
700,28,252.8885218763161
700,29,254.01601766388308
700,30,256.7146303395717
700,31,255.10876770813596
700,32,253.2097377647959
700,33,252.2278815853153
700,34,251.69324208485256
700,35,253.92047723377078
700,36,253.49450709089948
700,37,255.5836424502804
700,38,253.68362651476872
700,39,253.10768782963322
700,40,251.60510143858843
700,41,249.3666028344111
700,42,251.43988622345148
700,43,253.9184933843856
700,44,254.05327961409307
700,45,252.22142810197798
700,46,252.3854673535758
700,47,248.7660962428187
700,48,254.39164988762127
700,49,250.0983559880761
700,50,254.6550140776475
700,51,253.1898266380043
700,52,253.62850325894337
700,53,251.95510499199378
700,54,250.73505754670933
700,55,246.24001558888716
700,56,247.3911826690107
700,57,248.98601045765184
700,58,244.9299500342902
700,59,246.39610163460122
700,60,246.5108931148915
700,61,246.77332019739967
700,62,247.33631865098965
700,63,247.88859695769185
700,64,248.2046036464836
700,65,247.9128243158619
700,66,249.35604998917458
700,67,247.80221475612151
700,68,248.4494010099946
700,69,246.4733572965475
700,70,246.63667027214694
700,71,248.49487371801138
700,72,246.16570289243518
700,73,246.79492883881798
700,74,248.1660469475278
700,75,247.58742127344922
700,76,245.54727174551292
700,77,246.75932637551122
700,78,248.6586777096623
700,79,249.2318745520117
700,80,248.09885307955682
700,81,248.03293782016968
700,82,248.2905849761993
700,83,245.7986743415727
700,84,245.67267659200027
700,85,246.8000826780277
700,86,248.73471163455417
700,87,246.29206117800072
700,88,246.99705610383756
700,89,248.07734097347935
700,90,250.4527716512508
700,91,251.25354986235413
700,92,252.4039657516942
700,93,252.42687812272072
700,94,253.49666968750196
700,95,247.35570213759328
700,96,250.7718770431729
700,97,249.76779400401188
700,98,251.38151059983977
700,99,250.57608405478362
800,0,220.04269463014367
800,1,222.05760067403023
800,2,221.30399977188662
800,3,220.9012281577273
800,4,219.12758355898384
800,5,220.21837616474875
800,6,222.85920430478268
800,7,221.80432486442479
800,8,220.56833673658966
800,9,221.1277109273979
800,10,221.24470355602995
800,11,220.77203769300436
800,12,221.22458443280888
800,13,221.8143776240481
800,14,221.6691623985584
800,15,221.69654560543088
800,16,222.82458659343737
800,17,221.39577261802629
800,18,222.3045414039002
800,19,223.72649607951584
800,20,222.89746341615012
800,21,220.82465694146384
800,22,219.96122760361123
800,23,219.20284356673378
800,24,219.1356405366379
800,25,219.5717611713731
800,26,217.76702529824658
800,27,217.65673272967078
800,28,219.24325450168064
800,29,218.2410713957828
800,30,220.18629878052784
800,31,218.72217667262788
800,32,218.54673774338934
800,33,220.20872399207926
800,34,217.59516336166115
800,35,218.0345838490253
800,36,218.1254945182861
800,37,218.68007231581774
800,38,218.51530615675279
800,39,220.4399090346237
800,40,220.97700734238603
800,41,219.87052374532948
800,42,218.94430320080784
800,43,219.30125138776575
800,44,221.98910994
800,45,220.1951331158977
800,46,221.42476188854033
800,47,218.7777810968424
800,48,216.70456739256792
800,49,219.23787013782052
800,50,219.58054626150397
800,51,218.48225419906086
800,52,218.1802009020073
800,53,218.67772727396977
800,54,218.45416789547136
800,55,224.53422910976172
800,56,223.14891005704246
800,57,225.31486126995688
800,58,224.6839275052987
800,59,224.28511814326427
800,60,224.83542965347996
800,61,225.21215418024076
800,62,225.15023365831462
800,63,222.5319838908241
800,64,223.11633231933396
800,65,223.81600258593565
800,66,224.69713149265334
800,67,225.28223369067643
800,68,223.91876571670207
800,69,226.08260688897616
800,70,223.95910162251909
800,71,225.46384307889954
800,72,225.1152416871868
800,73,224.60694324852048
800,74,224.91249768464476
800,75,224.25051542579405
800,76,226.73690278262862
800,77,225.54417955051647
800,78,223.95439943882195
800,79,226.39633203111904
800,80,225.45118418234492
800,81,225.53806551230213
800,82,225.11034465367803
800,83,224.40080400218832
800,84,225.10167182362332
800,85,224.01851082187113
800,86,225.05929176221318
800,87,220.14106597172648
800,88,222.36797302505434
800,89,223.0659644664498
800,90,221.368628574518
800,91,221.582922348502
800,92,223.61078307098666
800,93,220.5823012184945
800,94,225.94642766748768
800,95,223.10982269955807
800,96,223.6185239994818
800,97,222.75161427987777
800,98,222.06580343567828
800,99,222.83575858273886
900,0,196.92313285390756
900,1,200.35956836384062
900,2,202.50510497845173
900,3,200.1812024846337
900,4,201.80172068953706
900,5,201.56708719569303
